optimalThreads,typeOp,matrixSize,numOp,numVar,varType,exeTime,isIterative,memoryPattern,complexity,matrixType
6,Ludecomposition,410,22973666,3,int,0.035,0,0,3.0,0
3,Eigenvalue,410,16810000,2,mixed,0.001,1,1,2.0,0
6,Multiplication,420,74088000,3,int,0.059,0,0,3.0,0
3,Addition,420,176400,3,int,0.001,0,0,2.0,0
2,Transposition,420,176400,2,int,0.0,0,1,2.0,0
5,Determinant,420,74088000,1,int,0.032,0,0,3.0,0
1,Scaling,420,176400,2,int,0.0,0,1,2.0,0
6,Exponential,420,176400,2,mixed,0.001,0,1,2.0,0
7,Logarithm,420,176400,2,mixed,0.002,0,1,2.0,0
8,Squareroot,420,176400,2,mixed,0.001,0,1,2.0,0
6,Ludecomposition,420,24696000,3,int,0.037,0,0,3.0,0
4,Eigenvalue,420,17640000,2,mixed,0.002,1,1,2.0,0
6,Multiplication,430,79507000,3,int,0.085,0,0,3.0,0
4,Addition,430,184900,3,int,0.0,0,0,2.0,0
1,Transposition,430,184900,2,int,0.0,0,1,2.0,0
6,Determinant,430,79507000,1,int,0.034,0,0,3.0,0
2,Scaling,430,184900,2,int,0.0,0,1,2.0,0
8,Exponential,430,184900,2,mixed,0.001,0,1,2.0,0
8,Logarithm,430,184900,2,mixed,0.001,0,1,2.0,0
8,Squareroot,430,184900,2,mixed,0.001,0,1,2.0,0
6,Ludecomposition,430,26502333,3,int,0.039,0,0,3.0,0
6,Eigenvalue,430,18490000,2,mixed,0.002,1,1,2.0,0
8,Multiplication,440,85184000,3,int,0.08,0,0,3.0,0
1,Addition,440,193600,3,int,0.001,0,0,2.0,0
1,Transposition,440,193600,2,int,0.001,0,1,2.0,0
6,Determinant,440,85184000,1,int,0.035,0,0,3.0,0
1,Scaling,440,193600,2,int,0.001,0,1,2.0,0
6,Exponential,440,193600,2,mixed,0.001,0,1,2.0,0
7,Logarithm,440,193600,2,mixed,0.001,0,1,2.0,0
7,Squareroot,440,193600,2,mixed,0.001,0,1,2.0,0
6,Ludecomposition,440,28394666,3,int,0.042,0,0,3.0,0
5,Eigenvalue,440,19360000,2,mixed,0.001,1,1,2.0,0
6,Multiplication,450,91125000,3,int,0.098,0,0,3.0,0
3,Addition,450,202500,3,int,0.0,0,0,2.0,0
1,Transposition,450,202500,2,int,0.001,0,1,2.0,0
6,Determinant,450,91125000,1,int,0.035,0,0,3.0,0
2,Scaling,450,202500,2,int,0.0,0,1,2.0,0
6,Exponential,450,202500,2,mixed,0.001,0,1,2.0,0
8,Logarithm,450,202500,2,mixed,0.001,0,1,2.0,0
3,Squareroot,450,202500,2,mixed,0.001,0,1,2.0,0
6,Ludecomposition,450,30375000,3,int,0.043,0,0,3.0,0
8,Eigenvalue,450,20250000,2,mixed,0.002,1,1,2.0,0
6,Multiplication,460,97336000,3,int,0.099,0,0,3.0,0
3,Addition,460,211600,3,int,0.001,0,0,2.0,0
3,Transposition,460,211600,2,int,0.0,0,1,2.0,0
6,Determinant,460,97336000,1,int,0.039,0,0,3.0,0
3,Scaling,460,211600,2,int,0.0,0,1,2.0,0
6,Exponential,460,211600,2,mixed,0.001,0,1,2.0,0
5,Logarithm,460,211600,2,mixed,0.001,0,1,2.0,0
8,Squareroot,460,211600,2,mixed,0.001,0,1,2.0,0
5,Ludecomposition,460,32445333,3,int,0.048,0,0,3.0,0
6,Eigenvalue,460,21160000,2,mixed,0.001,1,1,2.0,0
8,Multiplication,470,103823000,3,int,0.1,0,0,3.0,0
4,Addition,470,220900,3,int,0.001,0,0,2.0,0
3,Transposition,470,220900,2,int,0.0,0,1,2.0,0
